Season	W	L	T	PTS	MPD	TMP	TCA	TPA	CAA	PCAA	UfPA	DE	FW	FL	3PT	MCW	QPct	Rundle	Rank
17 Seasons	160	185	80	400	-76	922	772	998	810	1.23	503	.651	17	2	85	256	.304	Career	--
16 Seasons	152	169	79	383	-48	857	726	905	745	1.21	468	.656	15	2	79	232	.304	Rundle E	--
1 Season	8	16	1	17	-28	65	46	93	65	1.43	35	.557	2	0	6	24	.307	Rundle R	--
LL86	14	8	3	31	22	80	66	58	48	1.21	28	.667	1	0	6	19	.440	E Ravenna Div 1	6 (30)
LL85	12	12	1	25	5	55	49	50	48	1.04	25	.734	0	0	5	10	.327	E Ravenna Div 2	15 (26)
LL84	9	10	6	23	-7	42	37	49	46	1.07	25	.722	1	1	4	16	.257	E Ravenna Div 2	16 (26)
LL83	11	8	6	28	7	49	44	42	38	1.11	25	.688	0	0	6	7	.293	E Ravenna Div 1	9 (26)
LL82	12	12	1	25	6	60	43	54	39	1.38	35	.557	4	0	6	17	.287	E Ravenna Div 2	11 (22)
LL81	13	9	3	29	7	59	51	52	46	1.13	25	.702	1	0	5	14	.340	E Peninsula Div 1	10 (30)
LL80	6	9	10	22	-9	54	45	63	51	1.24	28	.663	1	0	4	13	.300	E Peninsula Div 2	20 (30)
LL79	7	14	4	18	-20	48	39	68	51	1.33	36	.596	1	0	6	14	.260	E Peninsula Div 1	22 (26)
LL78	8	12	5	21	-21	45	39	66	47	1.40	35	.557	0	0	5	17	.260	E Peninsula Div 2	18 (28)
LL77	11	7	7	29	8	49	44	41	40	1.03	17	.764	2	0	3	13	.293	E Peninsula Div 1	8 (28)
LL76	9	10	6	23	-9	56	51	65	52	1.25	31	.648	1	1	5	13	.354	E Peninsula Div 2	16 (26)
LL75	9	12	4	22	-22	42	43	64	50	1.28	30	.634	1	0	3	15	.287	E Peninsula Div 2	15 (22)
LL74	6	13	6	18	-11	42	34	53	40	1.33	34	.585	0	0	5	15	.227	E Peninsula Div 1	18 (20)
LL73	5	12	8	18	-14	46	42	60	49	1.22	31	.652	1	0	4	15	.280	E Skyline Div 2	19 (24)
LL72	10	11	4	24	4	64	53	60	54	1.11	27	.719	0	0	5	17	.353	E Skyline Div 2	13 (26)
LL71	10	10	5	25	6	66	46	60	46	1.30	36	.600	1	0	7	17	.307	E Skyline Div 1	14 (32)
LL70	8	16	1	17	-28	65	46	93	65	1.43	35	.557	2	0	6	24	.307	R Skyline Div 1	17 (24)
