role,person,score,selected
Role 23,Person 11,0.5238095238095238,0
Role 23,Person 109,0.7619047619047619,0
Role 23,Person 111,0.6190476190476191,0
Role 23,Person 26,0.23809523809523814,0
Role 23,Person 106,0,0
Role 23,Person 85,1.0,0
Role 23,Person 105,0.8095238095238095,0
Role 23,Person 64,0.6666666666666667,0
Role 23,Person 51,0.33333333333333337,0
Role 23,Person 41,0.5714285714285714,1
Role 23,Person 38,0.1428571428571429,0
Role 23,Person 35,0,0
Role 23,Person 32,0.4285714285714286,0
Role 23,Person 14,0.2857142857142857,1
Role 23,Person 67,0.47619047619047616,0
Role 23,Person 88,0.7142857142857143,0
Role 23,Person 34,0.0,0
Role 23,Person 6,0.38095238095238093,0
Role 23,Person 107,0.8571428571428572,1
Role 23,Person 21,0.9523809523809523,1
Role 23,Person 90,0.9047619047619048,0
Role 31,Person 18,1.0,0
Role 31,Person 47,0.6666666666666667,1
Role 31,Person 25,0,0
Role 31,Person 54,0.8333333333333334,0
Role 31,Person 20,0.5,0
Role 31,Person 22,0.0,0
Role 8,Person 61,0.33333333333333337,0
Role 8,Person 51,1.0,0
Role 8,Person 112,0.8333333333333334,0
Role 8,Person 27,0.0,0
Role 8,Person 14,0.5,0
Role 8,Person 89,0.6666666666666667,1
Role 6,Person 63,0.41666666666666663,1
Role 6,Person 53,0.16666666666666663,0
Role 6,Person 73,0.6666666666666667,1
Role 6,Person 91,0.8333333333333334,0
Role 6,Person 96,0.33333333333333337,0
Role 6,Person 44,0.5,0
Role 6,Person 27,0.0,0
Role 6,Person 67,1.0,0
Role 6,Person 48,0.5833333333333333,0
Role 6,Person 12,0.25,0
Role 6,Person 6,0.75,0
Role 6,Person 86,0.9166666666666666,1
Role 50,Person 29,0.0,0
Role 50,Person 11,0.0,0
Role 50,Person 111,0.9833333333333333,1
Role 50,Person 46,0.7166666666666667,0
Role 50,Person 1,0.0,0
Role 50,Person 73,0.0,0
Role 50,Person 40,0.9333333333333333,1
Role 50,Person 71,0.95,1
Role 50,Person 91,0.0,0
Role 50,Person 39,0.9666666666666667,1
Role 50,Person 94,0.0,0
Role 50,Person 105,0.8,0
Role 50,Person 55,0.7833333333333333,1
Role 50,Person 64,0.9,1
Role 50,Person 84,0.0,0
Role 50,Person 96,0.6666666666666667,0
Role 50,Person 4,0.8333333333333334,1
Role 50,Person 87,0.7,1
Role 50,Person 2,0.8833333333333333,1
Role 50,Person 108,0.0,0
Role 50,Person 44,0.8166666666666667,1
Role 50,Person 83,0.0,0
Role 50,Person 41,0.0,0
Role 50,Person 9,0.0,0
Role 50,Person 104,0.0,0
Role 50,Person 13,0.6833333333333333,1
Role 50,Person 50,0.9166666666666666,0
Role 50,Person 79,0.85,1
Role 50,Person 100,0.75,1
Role 50,Person 12,0.0,0
Role 50,Person 34,0.0,0
Role 50,Person 57,0.0,0
Role 50,Person 97,0.0,0
Role 50,Person 95,0.8666666666666667,1
Role 50,Person 45,0.0,0
Role 50,Person 6,1.0,1
Role 50,Person 43,0.0,0
Role 50,Person 77,0.7666666666666666,0
Role 50,Person 21,0.7333333333333334,0
Role 13,Person 70,1.0,0
Role 13,Person 33,0.0,0
Role 13,Person 15,0.33333333333333337,0
Role 13,Person 58,0.8333333333333334,0
Role 13,Person 92,0.6666666666666667,0
Role 13,Person 20,0.5,1
Role 54,Person 53,0.0,0
Role 54,Person 82,0.7142857142857143,0
Role 54,Person 3,0.8571428571428572,0
Role 54,Person 19,0.2857142857142857,0
Role 54,Person 81,1.0,1
Role 54,Person 16,0.4285714285714286,0
Role 54,Person 49,0.5714285714285714,0
Role 36,Person 23,0.6666666666666667,0
Role 36,Person 4,0.8333333333333334,0
Role 36,Person 10,0.33333333333333337,0
Role 36,Person 45,1.0,1
Role 36,Person 74,0.5,0
Role 36,Person 42,0.0,0
Role 51,Person 56,0.0,0
Role 51,Person 33,0.33333333333333337,0
Role 51,Person 25,0.5,0
Role 51,Person 75,0.6666666666666667,0
Role 51,Person 81,0.8333333333333334,0
Role 51,Person 22,1.0,1
Role 40,Person 19,0.6666666666666667,0
Role 40,Person 2,0.8333333333333334,0
Role 40,Person 24,1.0,1
Role 40,Person 48,0.0,0
Role 40,Person 10,0.5,0
Role 40,Person 6,0.33333333333333337,0
Role 25,Person 53,0.4,0
Role 25,Person 94,0.0,0
Role 25,Person 103,0.8,0
Role 25,Person 67,0.6,0
Role 25,Person 74,1.0,1
Role 5,Person 29,1.0,1
Role 5,Person 105,0.0,0
Role 5,Person 64,0.9090909090909091,0
Role 5,Person 84,0,0
Role 5,Person 102,0,0
Role 5,Person 110,0.8181818181818181,1
Role 5,Person 27,0,0
Role 5,Person 8,0.7272727272727273,0
Role 5,Person 12,0,0
Role 5,Person 80,0,0
Role 5,Person 21,0.6363636363636364,0
Role 49,Person 76,0.375,0
Role 49,Person 106,1.0,0
Role 49,Person 39,0.75,0
Role 49,Person 55,0.625,0
Role 49,Person 65,0.0,0
Role 49,Person 108,0.875,0
Role 49,Person 60,0.5,1
Role 49,Person 43,0.0,0
Role 46,Person 52,0.18181818181818177,0
Role 46,Person 64,0.7272727272727273,0
Role 46,Person 65,0.6363636363636364,0
Role 46,Person 102,0.36363636363636365,0
Role 46,Person 88,0.9090909090909091,1
Role 46,Person 72,0.5454545454545454,0
Role 46,Person 12,0.8181818181818181,1
Role 46,Person 80,0.0,0
Role 46,Person 89,0.4545454545454546,0
